type	publication_id	year	journal	title	authors	publish_date	citation_count	citation_count_category	relative_citation_ratio	rcr_range	nih_percentile	doi	project.queried_project_id
publication	33090190	2021	JAMA Oncol	The Current Landscape of Immune Checkpoint Blockade in Hepatocellular Carcinoma: A Review.	Matthias Pinter, Rakesh K Jain, Dan G Duda	1-Jan-2021	38	>=20	18.96	> 5		10.1001/jamaoncol.2020.3381	R01CA208205
publication	33092684	2020	Prev Chronic Dis	Use and Awareness of The Community Guide in State and Local Health Department Chronic Disease Programs.	Emily Rodriguez Weno, Stephanie Mazzucca, Renee G Parks, Margaret Padek, Peg Allen, Ross C Brownson	22-Oct-2020	1	<=4	0.93	0.8 to 1.25	47.4	10.5888/pcd17.200196	P50CA244431
publication	33092684	2020	Prev Chronic Dis	Use and Awareness of The Community Guide in State and Local Health Department Chronic Disease Programs.	Emily Rodriguez Weno, Stephanie Mazzucca, Renee G Parks, Margaret Padek, Peg Allen, Ross C Brownson	22-Oct-2020	1	<=4	0.93	0.8 to 1.25	47.4	10.5888/pcd17.200196	R01CA214530
publication	33093160	2020	Cancer Epidemiol Biomarkers Prev	Biomarkers for Lung Cancer Screening and Detection.	Edwin J Ostrin, David Sidransky, Avrum Spira, Samir M Hanash	1-Dec-2020	8	5 to 9	1.96	1.25 to 2	74.2	10.1158/1055-9965.EPI-20-0865	U2CCA233238
publication	33095259	2021	J Exp Med	Lysosomal cathepsin creates chimeric epitopes for diabetogenic CD4 T cells via transpeptidation.	Brendan Reed, Frances Crawford, Ryan C Hill, Niyun Jin, Janice White, S Harsha Krovi, Philippa Marrack, Kirk Hansen, John W Kappler	1-Feb-2021	14	10 to 14	6.98	> 5		10.1084/jem.20192135	P01AI118688
publication	33095584	2020	J Med Chem	Pyrazol-1-yl-propanamides as SARD and Pan-Antagonists for the Treatment of Enzalutamide-Resistant Prostate Cancer.	Yali He, Dong-Jin Hwang, Suriyan Ponnusamy, Thirumagal Thiyagarajan, Michael L Mohler, Ramesh Narayanan, Duane D Miller	12-Nov-2020	3	<=4	0.82	0.8 to 1.25	43.1	10.1021/acs.jmedchem.0c00943	R01CA229164
publication	33095872	2020	Blood Adv	Diagnostic biomarkers to differentiate sepsis from cytokine release syndrome in critically ill children.	Caroline Diorio, Pamela A Shaw, Edward Pequignot, Alena Orlenko, Fang Chen, Richard Aplenc, David M Barrett, Hamid Bassiri, Edward Behrens, Amanda M DiNofia, Vanessa Gonzalez, Natalka Koterba, Bruce L Levine, Shannon L Maude, Nuala J Meyer, Jason H Moore, Michele Paessler, David L Porter, Jenny L Bush, Don L Siegel, Megan M Davis, Donglan Zhang, Carl H June, Stephan A Grupp, J Joseph Melenhorst, Simon F Lacey, Scott L Weiss, David T Teachey	27-Oct-2020	9	5 to 9	1.45	1.25 to 2	64.2	10.1182/bloodadvances.2020002592	P01CA214278
publication	33098202	2021	Pigment Cell Melanoma Res	Model-dependent outcomes: Sex as a biological variable in preclinical mouse models of melanoma.	Gennie L Parkman, David A Kircher, Christopher M Stehn, Martin McMahon, Sheri L Holmen	1-May-2021	0	<=4		N/A		10.1111/pcmr.12940	R01CA121118
publication	33098744	2021	Pediatr Blood Cancer	Clinical utilization of blinatumomab and inotuzumab immunotherapy in children with relapsed or refractory B-acute lymphoblastic leukemia.	Cristina F Contreras, Christine S Higham, Astrid Behnert, Kailyn Kim, Elliot Stieglitz, Sarah K Tasian	1-Jan-2021	9	5 to 9	4.49	2 to 5		10.1002/pbc.28718	U01CA232486
publication	33103699	2020	Lab Chip	Organotypic primary blood vessel models of clear cell renal cell carcinoma for single-patient clinical trials.	María Virumbrales-Muñoz, Jiong Chen, Jose Ayuso, Moonhee Lee, E Jason Abel, David J Beebe	24-Nov-2020	3	<=4	0.52	0.5 to 0.8	28.1	10.1039/d0lc00252f	R33CA225281
publication	33105052	2021	Int J Cancer	Pregnancy outcomes and risk of endometrial cancer: A pooled analysis of individual participant data in the Epidemiology of Endometrial Cancer Consortium.	Susan J Jordan, Renhua Na, Elisabete Weiderpass, Hans-Olov Adami, Kristin E Anderson, Piet A van den Brandt, Louise A Brinton, Chu Chen, Linda S Cook, Jennifer A Doherty, Mengmeng Du, Christine M Friedenreich, Gretchen L Gierach, Marc T Goodman, Vittorio Krogh, Fabio Levi, Lingeng Lu, Anthony B Miller, Susan E McCann, Kirsten B Moysich, Eva Negri, Sara H Olson, Stacey Petruzella, Julie R Palmer, Fabio Parazzini, Malcolm C Pike, Anna E Prizment, Timothy R Rebbeck, Peggy Reynolds, Fulvio Ricceri, Harvey A Risch, Thomas E Rohan, Carlotta Sacerdote, Leo J Schouten, Diego Serraino, Veronica W Setiawan, Xiao-Ou Shu, Todd R Sponholtz, Amanda B Spurdle, Rachael Z Stolzenberg-Solomon, Britton Trabert, Nicolas Wentzensen, Lynne R Wilkens, Lauren A Wise, Herbert Yu, Carlo La Vecchia, Immaculata De Vivo, Wanghong Xu, Anne Zeleniuch-Jacquotte, Penelope M Webb	1-May-2021	2	<=4		N/A		10.1002/ijc.33360	U01CA164973
publication	33105726	2020	Cancers (Basel)	Prognostic Significance of Oxidation Pathway Mutations in Recurrent Laryngeal Squamous Cell Carcinoma.	Molly E Heft Neal, Apurva D Bhangale, Andrew C Birkeland, Jonathan B McHugh, Andrew G Shuman, Andrew J Rosko, Paul L Swiecicki, Matthew E Spector, J Chad Brenner	22-Oct-2020	2	<=4	0.53	0.5 to 0.8	28.9	10.3390/cancers12113081	U01DE029255
publication	33106653	2020	Nat Cell Biol	The lncRNA H19 alleviates muscular dystrophy by stabilizing dystrophin.	Yaohua Zhang, Yajuan Li, Qingsong Hu, Yutao Xi, Zhen Xing, Zhao Zhang, Lisa Huang, Jianbo Wu, Ke Liang, Tina K Nguyen, Sergey D Egranov, Chengcao Sun, Zilong Zhao, David H Hawke, Jin Li, Deqiang Sun, Jean J Kim, Ping Zhang, Jie Cheng, Abid Farida, Mien-Chie Hung, Leng Han, Radbod Darabi, Chunru Lin, Liuqing Yang	1-Nov-2020	17	15 to 19	2.92	2 to 5	84.8	10.1038/s41556-020-00595-5	R01CA231011
publication	33107001	2020	J Gen Intern Med	What Can Implementation Science Do for You? Key Success Stories from the Field.	Amy M Kilbourne, Russell E Glasgow, David A Chambers	1-Nov-2020	3	<=4	1.05	0.8 to 1.25	52	10.1007/s11606-020-06174-6	P50CA244688
publication	33110069	2020	Nat Commun	Overcoming primary and acquired resistance to anti-PD-L1 therapy by induction and activation of tumor-residing cDC1s.	Takaaki Oba, Mark D Long, Tibor Keler, Henry C Marsh, Hans Minderman, Scott I Abrams, Song Liu, Fumito Ito	27-Oct-2020	21	>=20	3.03	2 to 5	85.6	10.1038/s41467-020-19192-z	U24CA232979
publication	33111113	2020	STAR Protoc	Using Chromatin Accessibility to Delineate Therapeutic Subtypes in Pancreatic Cancer Patient-Derived Cell Lines.	Holly Brunton, Ian M Garner, Ulla-Maja Bailey, Rosie Upstill-Goddard, Peter J Bailey	4-Aug-2020	0	<=4	0	< 0.2	0	10.1016/j.xpro.2020.100079	U01CA224145
publication	33115944	2020	J Immunother Cancer	Intratumoral injection reduces toxicity and antibody-mediated neutralization of immunocytokine in a mouse melanoma model.	Claire C Baniel, Elizabeth G Sumiec, Jacquelyn A Hank, Amber M Bates, Amy K Erbe, Alexander A Pieper, Anna G Hoefges, Ravi B Patel, Alexander L Rakhmilevich, Zachary S Morris, Paul M Sondel	1-Oct-2020	2	<=4	0.45	0.2 to 0.5	24.2	10.1136/jitc-2020-001262	U54CA232568
publication	33115944	2020	J Immunother Cancer	Intratumoral injection reduces toxicity and antibody-mediated neutralization of immunocytokine in a mouse melanoma model.	Claire C Baniel, Elizabeth G Sumiec, Jacquelyn A Hank, Amber M Bates, Amy K Erbe, Alexander A Pieper, Anna G Hoefges, Ravi B Patel, Alexander L Rakhmilevich, Zachary S Morris, Paul M Sondel	1-Oct-2020	2	<=4	0.45	0.2 to 0.5	24.2	10.1136/jitc-2020-001262	U01CA233102
publication	33117890	2020	MDM Policy Pract	Enhancing Success of Medicare's Shared Decision Making Mandates Using Implementation Science: Examples Applying the Pragmatic Robust Implementation and Sustainability Model (PRISM).	Daniel D Matlock, Mayuko Ito Fukunaga, Andy Tan, Chris Knoepke, Demetria M McNeal, Kathleen M Mazor, Russell E Glasgow	15-Oct-2020	3	<=4	1.31	1.25 to 2	60.5	10.1177/2381468320963070	P50CA244688
publication	33118943	2020	J Med Internet Res	Integrating the Practical Robust Implementation and Sustainability Model With Best Practices in Clinical Decision Support Design: Implementation Science Approach.	Katy E Trinkley, Michael G Kahn, Tellen D Bennett, Russell E Glasgow, Heather Haugen, David P Kao, Miranda E Kroehl, Chen-Tan Lin, Daniel C Malone, Daniel D Matlock	29-Oct-2020	5	5 to 9	2.25	2 to 5	78.3	10.2196/19676	P50CA244688
publication	33119036	2020	JAMA Oncol	Integrated Survival Estimates for Cancer Treatment Delay Among Adults With Cancer During the COVID-19 Pandemic.	Holly E Hartman, Yilun Sun, Theresa P Devasia, Elizabeth C Chase, Neil K Jairath, Robert T Dess, William C Jackson, Emily Morris, Pin Li, Kimberly A Hochstedler, Madeline R Abbott, Kelley M Kidwell, Vonn Walter, Ming Wang, Xi Wang, Nicholas G Zaorsky, Matthew J Schipper, Daniel E Spratt	1-Dec-2020	19	15 to 19	2.99	2 to 5	85.3	10.1001/jamaoncol.2020.5403	P50CA186786
publication	33119407	2020	JCO Clin Cancer Inform	Multiomic Integration of Public Oncology Databases in Bioconductor.	Marcel Ramos, Ludwig Geistlinger, Sehyun Oh, Lucas Schiffer, Rimsha Azhar, Hanish Kodali, Ino de Bruijn, Jianjiong Gao, Vincent J Carey, Martin Morgan, Levi Waldron	1-Oct-2020	4	<=4	0.62	0.5 to 0.8	33.3	10.1200/CCI.19.00119	U24CA180996
publication	33121536	2020	Implement Sci	Implementing a multilevel intervention to accelerate colorectal cancer screening and follow-up in federally qualified health centers using a stepped wedge design: a study protocol.	Karen Kim, Blasé Polite, Donald Hedeker, David Liebovitz, Fornessa Randal, Manasi Jayaprakash, Michael Quinn, Sang Mee Lee, Helen Lam	29-Oct-2020	0	<=4	0	< 0.2	0	10.1186/s13012-020-01045-4	UH3CA233229
publication	33121536	2020	Implement Sci	Implementing a multilevel intervention to accelerate colorectal cancer screening and follow-up in federally qualified health centers using a stepped wedge design: a study protocol.	Karen Kim, Blasé Polite, Donald Hedeker, David Liebovitz, Fornessa Randal, Manasi Jayaprakash, Michael Quinn, Sang Mee Lee, Helen Lam	29-Oct-2020	0	<=4	0	< 0.2	0	10.1186/s13012-020-01045-4	UG3CA233229
publication	33122355	2020	Science	Physical traits of cancer.	Hadi T Nia, Lance L Munn, Rakesh K Jain	30-Oct-2020	44	>=20	7.42	> 5	96.7	10.1126/science.aaz0868	U01CA224348
publication	33122355	2020	Science	Physical traits of cancer.	Hadi T Nia, Lance L Munn, Rakesh K Jain	30-Oct-2020	44	>=20	7.42	> 5	96.7	10.1126/science.aaz0868	R01CA208205
publication	33122631	2020	Signal Transduct Target Ther	Beyond just a tight fortress: contribution of stroma to epithelial-mesenchymal transition in pancreatic cancer.	Ashenafi Bulle, Kian-Huat Lim	30-Oct-2020	22	>=20	3.72	2 to 5	89.4	10.1038/s41392-020-00341-1	U54CA224083
publication	33123685	2020	Nat Cancer	Integrated analysis of patient samples identifies biomarkers for venetoclax efficacy and combination strategies in acute myeloid leukemia.	Haijiao Zhang, Yusuke Nakauchi, Thomas Köhnke, Melissa Stafford, Daniel Bottomly, Rozario Thomas, Beth Wilmot, Shannon K McWeeney, Ravindra Majeti, Jeffrey W Tyner	1-Aug-2020	22	>=20	4.21	2 to 5	91.3	10.1038/s43018-020-0103-x	U54CA224019
publication	33123754	2021	Cancer Immunol Immunother	Aurora kinase inhibition sensitizes melanoma cells to T-cell-mediated cytotoxicity.	Simone Punt, Shruti Malu, Jodi A McKenzie, Soraya Zorro Manrique, Elien M Doorduijn, Rina M Mbofung, Leila Williams, Deborah A Silverman, Emily L Ashkin, Ana Lucía Dominguez, Zhe Wang, Jie Qing Chen, Sourindra N Maiti, Trang N Tieu, Chengwen Liu, Chunyu Xu, Marie-Andrée Forget, Cara Haymaker, Jahan S Khalili, Nikunj Satani, Florian Muller, Laurence J N Cooper, Willem W Overwijk, Rodabe N Amaria, Chantale Bernatchez, Timothy P Heffernan, Weiyi Peng, Jason Roszik, Patrick Hwu	1-Apr-2021	1	<=4		N/A		10.1007/s00262-020-02748-9	R01CA187076
publication	33125463	2020	Blood Adv	Public and private human T-cell clones respond differentially to HCMV antigen when boosted by CD3 copotentiation.	Laura R E Becher, Wendy K Nevala, Shari Lee Sutor, Megan Abergel, Michele M Hoffmann, Christopher A Parks, Larry R Pease, Adam G Schrum, Svetomir N Markovic, Diana Gil	10-Nov-2020	1	<=4	0.17	< 0.2	8.2	10.1182/bloodadvances.2020002255	U01CA244314
publication	33126510	2020	Cells	Exploring the Roles of lncRNAs in GBM Pathophysiology and Their Therapeutic Potential.	Christian T Stackhouse, G Yancey Gillespie, Christopher D Willey	28-Oct-2020	6	5 to 9	1.16	0.8 to 1.25	55.8	10.3390/cells9112369	U01CA223976
publication	33130228	2021	Biochim Biophys Acta Rev Cancer	Shining a light on metabolic vulnerabilities in non-small cell lung cancer.	Catríona M Dowling, Hua Zhang, Tríona Ní Chonghaile, Kwok-Kin Wong	1-Jan-2021	1	<=4		N/A		10.1016/j.bbcan.2020.188462	U01CA233084
publication	33134652	2019	IEEE Trans Radiat Plasma Med Sci	Combining structural and textural assessments of volumetric FDG-PET uptake in NSCLC.	Eric Wolsztynski, Janet O'Sullivan, Nicola M Hughes, Tian Mou, Peter Murphy, Finbarr O'Sullivan, Kevin O'Regan	1-Jul-2019	0	<=4	0	< 0.2	0	10.1109/trpms.2019.2912433	R33CA225310
publication	33134653	2020	IEEE Trans Radiat Plasma Med Sci	Total Body PET: Why, How, What for?	Suleman Surti, Austin R Pantel, Joel S Karp	1-May-2020	19	15 to 19	6.28	> 5	95.5	10.1109/trpms.2020.2985403	R33CA225310
publication	33137064	2020	Opt Lett	Photoacoustic spectral analysis at ultraviolet wavelengths for characterizing the Gleason grades of prostate cancer.	Janggun Jo, Javed Siddiqui, Yunhao Zhu, Linyu Ni, Sri-Rajasekhar Kothapalli, Scott A Tomlins, John T Wei, Evan T Keller, Aaron M Udager, Xueding Wang, Guan Xu	1-Nov-2020	1	<=4	0.48	0.2 to 0.5	25.9	10.1364/OL.409249	P50CA186786
publication	33141930	2021	Cancer	Time for action: The Patient Protection and Affordable Care Act Medicaid expansion significantly improves breast cancer care for women in Louisiana.	Victoria L Seewaldt	1-Mar-2021	0	<=4		N/A		10.1002/cncr.33264	R01CA192914
publication	33144576	2020	Nat Commun	Role of specialized composition of SWI/SNF complexes in prostate cancer lineage plasticity.	Joanna Cyrta, Anke Augspach, Maria Rosaria De Filippo, Davide Prandi, Phillip Thienger, Matteo Benelli, Victoria Cooley, Rohan Bareja, David Wilkes, Sung-Suk Chae, Paola Cavaliere, Noah Dephoure, Anne-Christine Uldry, Sophie Braga Lagache, Luca Roma, Sandra Cohen, Muriel Jaquet, Laura P Brandt, Mohammed Alshalalfa, Loredana Puca, Andrea Sboner, Felix Feng, Shangqian Wang, Himisha Beltran, Tamara Lotan, Martin Spahn, Marianna Kruithof-de Julio, Yu Chen, Karla V Ballman, Francesca Demichelis, Salvatore Piscuoglio, Mark A Rubin	3-Nov-2020	18	15 to 19	2.68	2 to 5	82.9	10.1038/s41467-020-19328-1	U54CA224079
publication	33145085	2020	J Thorac Dis	Role of immunotherapy and co-mutations on KRAS-mutant non-small cell lung cancer survival.	Idoroenyi Amanam, Isa Mambetsariev, Rohan Gupta, Srisairam Achuthan, Yingyu Wang, Rebecca Pharaon, Erminia Massarelli, Marianna Koczywas, Karen Reckamp, Ravi Salgia	1-Sep-2020	5	5 to 9	0.73	0.5 to 0.8	39	10.21037/jtd.2020.04.18	U54CA209978
publication	33145086	2020	J Thorac Dis	Rapid progression of disease from immunotherapy following targeted therapy: insights into treatment management and sequence.	Rebecca Pharaon, Isa Mambetsariev, Jeremy Fricke, Ravi Salgia	1-Sep-2020	0	<=4	0	< 0.2	0	10.21037/jtd.2019.08.14	U54CA209978
publication	33147337	2020	Blood Adv	Real-world evidence of tisagenlecleucel for pediatric acute lymphoblastic leukemia and non-Hodgkin lymphoma.	Marcelo C Pasquini, Zhen-Huan Hu, Kevin Curran, Theodore Laetsch, Frederick Locke, Rayne Rouce, Michael A Pulsipher, Christine L Phillips, Amy Keating, Matthew J Frigault, Dana Salzberg, Samantha Jaglowski, Joshua P Sasine, Joseph Rosenthal, Monalisa Ghosh, Daniel Landsburg, Steven Margossian, Paul L Martin, Manali K Kamdar, Peiman Hematti, Sarah Nikiforow, Cameron Turtle, Miguel-Angel Perales, Patricia Steinert, Mary M Horowitz, Amy Moskop, Lida Pacaud, Lan Yi, Raghav Chawla, Eric Bleickardt, Stephan Grupp	10-Nov-2020	45	>=20	7.18	> 5	96.5	10.1182/bloodadvances.2020003092	U24CA233032
publication	33147337	2020	Blood Adv	Real-world evidence of tisagenlecleucel for pediatric acute lymphoblastic leukemia and non-Hodgkin lymphoma.	Marcelo C Pasquini, Zhen-Huan Hu, Kevin Curran, Theodore Laetsch, Frederick Locke, Rayne Rouce, Michael A Pulsipher, Christine L Phillips, Amy Keating, Matthew J Frigault, Dana Salzberg, Samantha Jaglowski, Joshua P Sasine, Joseph Rosenthal, Monalisa Ghosh, Daniel Landsburg, Steven Margossian, Paul L Martin, Manali K Kamdar, Peiman Hematti, Sarah Nikiforow, Cameron Turtle, Miguel-Angel Perales, Patricia Steinert, Mary M Horowitz, Amy Moskop, Lida Pacaud, Lan Yi, Raghav Chawla, Eric Bleickardt, Stephan Grupp	10-Nov-2020	45	>=20	7.18	> 5	96.5	10.1182/bloodadvances.2020003092	P01CA214278
publication	33149123	2020	Blood Cancer J	VIS832, a novel CD138-targeting monoclonal antibody, potently induces killing of human multiple myeloma and further synergizes with IMiDs or bortezomib in vitro and in vivo.	Tengteng Yu, Bharat Chaganty, Liang Lin, Lijie Xing, Boopathy Ramakrishnan, Kenneth Wen, Phillip A Hsieh, Andrew Wollacott, Karthik Viswanathan, Hedy Adari, Shih-Feng Cho, Yuyin Li, Hailin Chen, Wenjuan Yang, Yan Xu, Gang An, Lugui Qiu, Nikhil Munshi, Gregory Babcock, Zachary Shriver, James R Myette, Kenneth C Anderson, Yu-Tzu Tai	2-Nov-2020	5	5 to 9	0.96	0.8 to 1.25	48.8	10.1038/s41408-020-00378-z	P01CA155258
publication	33149130	2020	Blood Cancer J	Daratumumab, lenalidomide, and dexamethasone in relapsed/refractory myeloma: a cytogenetic subgroup analysis of POLLUX.	Jonathan L Kaufman, Meletios A Dimopoulos, Darrell White, Lotfi Benboubker, Gordon Cook, Merav Leiba, James Morton, P Joy Ho, Kihyun Kim, Naoki Takezako, Philippe Moreau, Heather J Sutherland, Hila Magen, Shinsuke Iida, Jin Seok Kim, H Miles Prince, Tara Cochrane, Albert Oriol, Nizar J Bahlis, Ajai Chari, Lisa O'Rourke, Sonali Trivedi, Tineke Casneuf, Maria Krevvata, Jon Ukropec, Rachel Kobos, Hervé Avet-Loiseau, Saad Z Usmani, Jesus San-Miguel	3-Nov-2020	3	<=4	0.47	0.2 to 0.5	25.6	10.1038/s41408-020-00375-2	P01CA155258
publication	33149280	2021	Oncogene	The hidden role of paxillin: localization to nucleus promotes tumor angiogenesis.	Kyunghee Noh, Duc-Hiep Bach, Hyun-Jin Choi, Mark S Kim, Sherry Y Wu, Sunila Pradeep, Cristina Ivan, Min-Soon Cho, Emine Bayraktar, Cristian Rodriguez-Aguayo, Santosh K Dasari, Elaine Stur, Lingegowda S Mangala, Gabriel Lopez-Berestein, Anil K Sood	1-Jan-2021	4	<=4		N/A		10.1038/s41388-020-01517-3	P50CA098258
publication	33149299	2020	Nature	IFITM3 functions as a PIP3 scaffold to amplify PI3K signalling in B cells.	Jaewoong Lee, Mark E Robinson, Ning Ma, Dewan Artadji, Mohamed A Ahmed, Gang Xiao, Teresa Sadras, Gauri Deb, Janet Winchester, Kadriye Nehir Cosgun, Huimin Geng, Lai N Chan, Kohei Kume, Teemu P Miettinen, Ye Zhang, Matthew A Nix, Lars Klemm, Chun Wei Chen, Jianjun Chen, Vishal Khairnar, Arun P Wiita, Andrei Thomas-Tikhonenko, Michael Farzan, Jae U Jung, David M Weinstock, Scott R Manalis, Michael S Diamond, Nagarajan Vaidehi, Markus Müschen	1-Dec-2020	15	15 to 19	2.76	2 to 5	83.6	10.1038/s41586-020-2884-6	U01CA232563
publication	33152323	2021	Cell Metab	Functional Genomics Identifies Metabolic Vulnerabilities in Pancreatic Cancer.	Douglas E Biancur, Kevin S Kapner, Keisuke Yamamoto, Robert S Banh, Jasper E Neggers, Albert S W Sohn, Warren Wu, Robert T Manguso, Adam Brown, David E Root, Andrew J Aguirre, Alec C Kimmelman	5-Jan-2021	6	5 to 9	2.98	2 to 5		10.1016/j.cmet.2020.10.018	U01CA224146
publication	33157031	2021	Curr Biol	Coordinate Regulation of Ribosome and tRNA Biogenesis Controls Hypoxic Injury and Translation.	Omar A Itani, Xuefei Zhong, Xiaoting Tang, Barbara A Scott, Jun Yi Yan, Stephane Flibotte, Yiting Lim, Andrew C Hsieh, James E Bruce, Marc Van Gilst, C Michael Crowder	11-Jan-2021	2	<=4		N/A		10.1016/j.cub.2020.10.001	R37CA230617
publication	33157050	2020	Cancer Cell	Large-Scale Characterization of Drug Responses of Clinically Relevant Proteins in Cancer Cell Lines.	Wei Zhao, Jun Li, Mei-Ju M Chen, Yikai Luo, Zhenlin Ju, Nicole K Nesser, Katie Johnson-Camacho, Christopher T Boniface, Yancey Lawrence, Nupur T Pande, Michael A Davies, Meenhard Herlyn, Taru Muranen, Ioannis K Zervantonakis, Erika von Euw, Andre Schultz, Shwetha V Kumar, Anil Korkut, Paul T Spellman, Rehan Akbani, Dennis J Slamon, Joe W Gray, Joan S Brugge, Yiling Lu, Gordon B Mills, Han Liang	14-Dec-2020	8	5 to 9	1.33	1.25 to 2	61	10.1016/j.ccell.2020.10.008	U24CA209851
publication	33157050	2020	Cancer Cell	Large-Scale Characterization of Drug Responses of Clinically Relevant Proteins in Cancer Cell Lines.	Wei Zhao, Jun Li, Mei-Ju M Chen, Yikai Luo, Zhenlin Ju, Nicole K Nesser, Katie Johnson-Camacho, Christopher T Boniface, Yancey Lawrence, Nupur T Pande, Michael A Davies, Meenhard Herlyn, Taru Muranen, Ioannis K Zervantonakis, Erika von Euw, Andre Schultz, Shwetha V Kumar, Anil Korkut, Paul T Spellman, Rehan Akbani, Dennis J Slamon, Joe W Gray, Joan S Brugge, Yiling Lu, Gordon B Mills, Han Liang	14-Dec-2020	8	5 to 9	1.33	1.25 to 2	61	10.1016/j.ccell.2020.10.008	P50CA098258
publication	33158848	2021	Cancer Discov	Epigenetic and Transcriptional Control of the Epidermal Growth Factor Receptor Regulates the Tumor Immune Microenvironment in Pancreatic Cancer.	Jinyang Li, Salina Yuan, Robert J Norgard, Fangxue Yan, Yu H Sun, Il-Kyu Kim, Allyson J Merrell, Yogev Sela, Yanqing Jiang, Natarajan V Bhanu, Benjamin A Garcia, Robert H Vonderheide, Andrés Blanco, Ben Z Stanger	1-Mar-2021	13	10 to 14	6.47	> 5		10.1158/2159-8290.CD-20-0519	U54CA232568
publication	33158916	2020	J Immunother Cancer	Analysis of tumor-infiltrating NK and T cells highlights IL-15 stimulation and TIGIT blockade as a combination immunotherapy strategy for soft tissue sarcomas.	Sean J Judge, Morgan A Darrow, Steve W Thorpe, Alicia A Gingrich, Edmond F O'Donnell, Alyssa R Bellini, Ian R Sturgill, Logan V Vick, Cordelia Dunai, Kevin M Stoffel, Yue Lyu, Shuai Chen, May Cho, Robert B Rebhun, Arta M Monjazeb, William J Murphy, Robert J Canter	1-Nov-2020	6	5 to 9	0.99	0.8 to 1.25	49.8	10.1136/jitc-2020-001355	U01CA224166
publication	33159050	2020	Nat Commun	LSH mediates gene repression through macroH2A deposition.	Kai Ni, Jianke Ren, Xiaoping Xu, Yafeng He, Richard Finney, Simon M G Braun, Nathaniel A Hathaway, Gerald R Crabtree, Kathrin Muegge	6-Nov-2020	8	5 to 9	1.06	0.8 to 1.25	52.4	10.1038/s41467-020-19159-0	R01CA163915
publication	33168847	2020	Sci Rep	Platelet PD-L1 suppresses anti-cancer immune cell activity in PD-L1 negative tumors.	Alexander B Zaslavsky, M P Adams, X Cao, T Maj, J E Choi, J Stangl-Kremser, S Patel, A Putelo, S K Lee, S Nallandhighal, A Kasputis, A Alva, M Lew, A Qin, R Mehra, T M Morgan, S S Salami, Z Reichert, A Udager, W Zou, Ganesh S Palapattu	9-Nov-2020	6	5 to 9	1.23	0.8 to 1.25	58	10.1038/s41598-020-76351-4	P50CA186786
publication	33170893	2020	PLoS One	Survey of metaproteomics software tools for functional microbiome analysis.	Ray Sajulga, Caleb Easterly, Michael Riffle, Bart Mesuere, Thilo Muth, Subina Mehta, Praveen Kumar, James Johnson, Bjoern Andreas Gruening, Henning Schiebenhoefer, Carolin A Kolmeder, Stephan Fuchs, Brook L Nunn, Joel Rudney, Timothy J Griffin, Pratik D Jagtap	10-Nov-2020	9	5 to 9	2.22	2 to 5	78	10.1371/journal.pone.0241503	U24CA199347
publication	33173046	2020	Nat Commun	Biomaterial-based scaffold for in situ chemo-immunotherapy to treat poorly immunogenic tumors.	Hua Wang, Alexander J Najibi, Miguel C Sobral, Bo Ri Seo, Jun Yong Lee, David Wu, Aileen Weiwei Li, Catia S Verbeke, David J Mooney	10-Nov-2020	17	15 to 19	3.01	2 to 5	85.5	10.1038/s41467-020-19540-z	U54CA244726
publication	33173221	2020	Sci Rep	Fate and functional roles of Prominin 1+ cells in liver injury and cancer.	Raymond Wu, Stephanie Pan, Yibu Chen, Yasuhiro Nakano, Meng Li, Steven Balog, Hidekazu Tsukamoto	10-Nov-2020	4	<=4	0.72	0.5 to 0.8	38.2	10.1038/s41598-020-76458-8	U01AA027681
publication	33178188	2020	Front Immunol	Umbilical Cord Blood and iPSC-Derived Natural Killer Cells Demonstrate Key Differences in Cytotoxic Activity and KIR Profiles.	Benjamin H Goldenson, Huang Zhu, YunZu Michele Wang, Naveen Heragu, Davide Bernareggi, Alessa Ruiz-Cisneros, Andres Bahena, Eivind Heggernes Ask, Hanna Julie Hoel, Karl-Johan Malmberg, Dan S Kaufman	15-Oct-2020	6	5 to 9	1.2	0.8 to 1.25	57.1	10.3389/fimmu.2020.561553	U01CA217885
publication	33180487	2020	J Med Chem	A Multipronged Approach Establishes Covalent Modification of β-Tubulin as the Mode of Action of Benzamide Anti-cancer Toxins.	Juan Manuel Povedano, Rameshu Rallabandi, Xin Bai, Xuecheng Ye, Joel Liou, Hong Chen, Jiwoong Kim, Yang Xie, Bruce Posner, Luke Rice, Jef K De Brabander, David G McFadden	25-Nov-2020	0	<=4	0	< 0.2	0	10.1021/acs.jmedchem.0c01482	U54CA231649
publication	33181636	2020	Medicine (Baltimore)	Hyperprogression on immunotherapy with complete response to chemotherapy in a NSCLC patient with high PD-L1 and STK11: A case report.	Jeremy Fricke, Isa Mambetsariev, Rebecca Pharaon, Shanmuga Subbiah, Swapnil Rajurkar, Ravi Salgia	13-Nov-2020	3	<=4	0.43	0.2 to 0.5	23.3	10.1097/MD.0000000000022323	U54CA209978
publication	33183950	2020	Semin Immunol	Humoral immune responses: Unsung heroes of the war on cancer.	Jose R Conejo-Garcia, Subir Biswas, Ricardo Chaurio	1-Jun-2020	1	<=4	0.16	< 0.2	7.9	10.1016/j.smim.2020.101419	U01CA232758
